store_id,store_name,store_type
STORE1,Walmart Cummingsland,Online
STORE2,Walmart South Alan,Supercenter
STORE3,Walmart Danielleview,Online
STORE4,Walmart Pamelaberg,Online
STORE5,Walmart New Triciachester,Online
STORE6,Walmart Ashleyton,Express
STORE7,Walmart Port Jacobview,Express
STORE8,Walmart Kathrynland,Online
STORE9,Walmart West Brendan,Express
STORE10,Walmart North Danielmouth,Online
STORE11,Walmart Peterfort,Express
STORE12,Walmart Kristinhaven,Supercenter
STORE13,Walmart New Natalieborough,Supercenter
STORE14,Walmart West Jonathanland,Online
STORE15,Walmart West Bryanbury,Express
STORE16,Walmart West Richardhaven,Express
STORE17,Walmart Charlesborough,Supercenter
STORE18,Walmart Jamesville,Express
STORE19,Walmart Zacharyborough,Express
STORE20,Walmart Collinsmouth,Express
STORE21,Walmart Williamborough,Supercenter
STORE22,Walmart New Danielleville,Online
STORE23,Walmart Blackmouth,Express
STORE24,Walmart Campbellville,Express
STORE25,Walmart Randallmouth,Supercenter
STORE26,Walmart Barryton,Express
STORE27,Walmart South Kristy,Online
STORE28,Walmart South Phyllishaven,Online
STORE29,Walmart South Jacqueline,Online
STORE30,Walmart Davisstad,Online
